"","term","gene"
"426","Astrocytes%ENCODE%1.txt2","COL11A1"
"427","Astrocytes%ENCODE%1.txt3","DNA2"
"428","Astrocytes%ENCODE%1.txt4","FABP7"
"429","Astrocytes%ENCODE%1.txt5","GPC4"
"430","Astrocytes%ENCODE%1.txt6","CENPI"
"431","Astrocytes%ENCODE%1.txt7","FZD2"
"432","Astrocytes%ENCODE%1.txt8","GLI2"
"433","Astrocytes%ENCODE%1.txt9","GNG3"
"434","Astrocytes%ENCODE%1.txt10","GPX7"
"435","Astrocytes%ENCODE%1.txt11","TNC"
"436","Astrocytes%ENCODE%1.txt12","LOXL1"
"437","Astrocytes%ENCODE%1.txt13","LRP4"
"438","Astrocytes%ENCODE%1.txt14","NNAT"
"439","Astrocytes%ENCODE%1.txt15","POU3F3"
"440","Astrocytes%ENCODE%1.txt16","PTN"
"441","Astrocytes%ENCODE%1.txt17","PTX3"
"442","Astrocytes%ENCODE%1.txt18","RBP1"
"443","Astrocytes%ENCODE%1.txt19","SDC2"
"444","Astrocytes%ENCODE%1.txt20","TFAP2C"
"445","Astrocytes%ENCODE%1.txt21","TRO"
"446","Astrocytes%ENCODE%1.txt22","XRCC2"
"447","Astrocytes%ENCODE%1.txt23","ADAM12"
"448","Astrocytes%ENCODE%1.txt24","DPF3"
"449","Astrocytes%ENCODE%1.txt25","ST8SIA2"
"450","Astrocytes%ENCODE%1.txt26","ZNF239"
"451","Astrocytes%ENCODE%1.txt27","DCHS1"
"452","Astrocytes%ENCODE%1.txt28","KIF20B"
"453","Astrocytes%ENCODE%1.txt29","REC8"
"454","Astrocytes%ENCODE%1.txt30","PNMA2"
"455","Astrocytes%ENCODE%1.txt31","CAND2"
"456","Astrocytes%ENCODE%1.txt32","FBXL7"
"457","Astrocytes%ENCODE%1.txt33","SYT11"
"458","Astrocytes%ENCODE%1.txt34","DAPK2"
"459","Astrocytes%ENCODE%1.txt35","ANKRD1"
"460","Astrocytes%ENCODE%1.txt36","NT5DC3"
"461","Astrocytes%ENCODE%1.txt37","PNMAL1"
"462","Astrocytes%ENCODE%1.txt38","ASAP3"
"463","Astrocytes%ENCODE%1.txt39","DOK5"
"464","Astrocytes%ENCODE%1.txt40","GABRQ"
"465","Astrocytes%ENCODE%1.txt41","AGPAT4"
"466","Astrocytes%ENCODE%1.txt42","NCAPG"
"467","Astrocytes%ENCODE%1.txt43","FSD1"
"468","Astrocytes%ENCODE%1.txt44","KIF18A"
"469","Astrocytes%ENCODE%1.txt45","MXD3"
"470","Astrocytes%ENCODE%1.txt46","PSRC1"
"471","Astrocytes%ENCODE%1.txt47","OLFML2A"
"472","Astrocytes%ENCODE%2.txt1","CBR3"
"473","Astrocytes%ENCODE%2.txt2","CLCN2"
"474","Astrocytes%ENCODE%2.txt3","CNN1"
"475","Astrocytes%ENCODE%2.txt4","COL11A1"
"476","Astrocytes%ENCODE%2.txt5","FABP7"
"477","Astrocytes%ENCODE%2.txt6","GPC4"
"478","Astrocytes%ENCODE%2.txt7","FZD2"
"479","Astrocytes%ENCODE%2.txt8","GRM7"
"480","Astrocytes%ENCODE%2.txt9","HIST1H1D"
"481","Astrocytes%ENCODE%2.txt10","TNC"
"482","Astrocytes%ENCODE%2.txt11","KIFC1"
"483","Astrocytes%ENCODE%2.txt12","LOXL1"
"484","Astrocytes%ENCODE%2.txt13","MCM3"
"485","Astrocytes%ENCODE%2.txt14","POU3F3"
"486","Astrocytes%ENCODE%2.txt15","PTN"
"487","Astrocytes%ENCODE%2.txt16","SCN5A"
"488","Astrocytes%ENCODE%2.txt17","SDC2"
"489","Astrocytes%ENCODE%2.txt18","STAC"
"490","Astrocytes%ENCODE%2.txt19","TFAP2C"
"491","Astrocytes%ENCODE%2.txt20","TRO"
"492","Astrocytes%ENCODE%2.txt21","XRCC2"
"493","Astrocytes%ENCODE%2.txt22","ADAM12"
"494","Astrocytes%ENCODE%2.txt23","DPF3"
"495","Astrocytes%ENCODE%2.txt24","ST8SIA2"
"496","Astrocytes%ENCODE%2.txt25","ZNF239"
"497","Astrocytes%ENCODE%2.txt26","DCHS1"
"498","Astrocytes%ENCODE%2.txt27","RECQL4"
"499","Astrocytes%ENCODE%2.txt28","REC8"
"500","Astrocytes%ENCODE%2.txt29","TRIOBP"
"501","Astrocytes%ENCODE%2.txt30","CAND2"
"502","Astrocytes%ENCODE%2.txt31","FBXL7"
"503","Astrocytes%ENCODE%2.txt32","DAPK2"
"504","Astrocytes%ENCODE%2.txt33","RIBC2"
"505","Astrocytes%ENCODE%2.txt34","FAM64A"
"506","Astrocytes%ENCODE%2.txt35","PNMAL1"
"507","Astrocytes%ENCODE%2.txt36","ASAP3"
"508","Astrocytes%ENCODE%2.txt37","DOK5"
"509","Astrocytes%ENCODE%2.txt38","GABRQ"
"510","Astrocytes%ENCODE%2.txt39","AGPAT4"
"511","Astrocytes%ENCODE%2.txt40","NT5DC2"
"512","Astrocytes%ENCODE%2.txt41","TMEM135"
